Turning Movement Count,
15 Minute Counts,
DATE,TIME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR
11/18/2025,="0245",1,1,0,2,0,0,2,0,1,1,0,0,2,
11/18/2025,="0300",1,0,0,0,0,0,0,0,0,0,0,0,3,
11/18/2025,="0315",1,2,0,0,0,0,2,0,1,0,0,0,6,
11/18/2025,="0330",1,0,0,0,0,0,2,0,0,0,0,0,4,
11/18/2025,="0345",1,1,0,1,0,0,1,0,3,1,0,0,4,
11/18/2025,="0400",1,1,0,1,0,0,0,0,2,2,0,0,4,
11/18/2025,="0415",1,0,1,1,0,0,1,0,1,1,0,0,6,
11/18/2025,="0430",1,1,1,0,0,0,5,0,10,2,0,2,15,
11/18/2025,="0445",1,4,2,2,1,0,3,0,13,2,0,2,19,
11/18/2025,="0500",1,4,1,6,0,0,2,0,12,4,14,31,8,
11/18/2025,="0515",1,3,4,3,2,0,9,0,13,3,6,22,25,
11/18/2025,="0530",1,6,3,4,0,0,4,0,15,10,1,37,14,
11/18/2025,="0545",1,5,4,3,1,0,14,0,25,12,14,44,17,
11/18/2025,="0600",1,1,6,1,1,0,15,0,10,6,1,61,20,
11/18/2025,="0615",1,4,12,4,0,0,11,0,29,4,12,60,29,
11/18/2025,="0630",1,13,29,0,0,1,19,0,38,13,3,73,49,
11/18/2025,="0645",1,61,79,6,0,0,19,0,40,16,10,75,46,
11/18/2025,="0700",1,100,71,7,5,5,3,1,95,6,16,69,44,
11/18/2025,="0715",1,89,55,7,4,5,5,1,104,1,56,98,55,
11/18/2025,="0730",1,121,95,13,10,8,2,2,111,5,36,80,64,
11/18/2025,="0745",1,111,79,13,16,3,8,0,86,8,42,74,66,
11/18/2025,="0800",1,135,75,13,14,7,2,0,80,8,19,58,62,
11/18/2025,="0815",1,99,88,34,14,5,3,0,87,14,69,35,68,
11/18/2025,="0830",1,95,70,23,13,6,2,1,91,3,74,42,58,
11/18/2025,="0845",1,69,62,20,14,7,5,2,116,3,54,59,78,
11/18/2025,="0900",1,64,60,32,10,7,7,1,101,15,52,56,79,
11/18/2025,="0915",1,70,32,27,13,6,1,1,115,4,39,39,100,
11/18/2025,="0930",1,69,25,34,3,7,2,0,121,8,49,54,66,
11/18/2025,="0945",1,48,26,27,3,3,5,0,116,9,35,73,56,
11/18/2025,="1000",1,53,24,28,17,3,5,2,102,13,79,52,73,
11/18/2025,="1015",1,58,27,22,10,4,4,2,117,10,30,65,59,
11/18/2025,="1030",1,46,25,16,10,5,5,2,129,11,44,63,69,
11/18/2025,="1045",1,26,20,18,11,1,3,1,111,22,43,52,68,
11/18/2025,="1100",1,35,15,20,9,3,3,4,130,24,60,67,54,
11/18/2025,="1115",1,67,21,18,11,4,1,1,117,19,20,59,61,
11/18/2025,="1130",1,63,28,14,13,6,6,1,125,16,25,54,72,
11/18/2025,="1145",1,57,29,15,15,7,3,1,93,22,42,76,57,
11/18/2025,="1200",1,47,23,15,16,8,5,1,112,27,40,65,73,
11/18/2025,="1215",1,42,23,21,15,6,4,1,128,17,135,53,44,
11/18/2025,="1230",1,55,26,25,14,4,5,0,101,19,141,68,67,
11/18/2025,="1245",1,57,28,20,14,7,6,5,109,24,103,56,66,
11/18/2025,="1300",1,48,34,17,13,5,3,1,80,20,100,50,68,
11/18/2025,="1315",1,48,17,12,7,4,3,2,97,33,116,59,61,
11/18/2025,="1330",1,50,25,23,9,6,3,0,79,19,107,79,56,
11/18/2025,="1345",1,55,31,15,11,4,2,3,100,22,66,62,60,
11/18/2025,="1400",1,44,40,14,12,7,4,1,83,25,55,85,61,
11/18/2025,="1415",1,43,34,9,13,4,1,1,82,17,70,63,63,
11/18/2025,="1430",1,27,33,8,18,10,2,1,79,39,28,66,74,
11/18/2025,="1445",1,29,41,1,9,6,1,1,99,28,23,65,67,
11/18/2025,="1500",1,31,34,3,10,7,2,2,83,20,15,65,76,
11/18/2025,="1515",1,53,44,2,14,5,0,3,74,25,5,84,59,
11/18/2025,="1530",1,47,40,0,13,17,1,4,90,31,3,69,64,
11/18/2025,="1545",1,61,66,0,26,2,1,22,75,20,3,79,63,
11/18/2025,="1600",1,43,42,1,19,8,3,32,80,37,0,72,76,
11/18/2025,="1615",1,27,54,2,16,9,2,41,99,36,1,65,93,
11/18/2025,="1630",1,36,52,4,34,12,4,0,191,37,0,65,85,
11/18/2025,="1645",1,42,49,6,32,5,0,2,180,41,0,89,84,
11/18/2025,="1700",1,38,55,8,17,21,5,1,181,51,0,102,85,
11/18/2025,="1715",1,36,45,3,9,10,9,0,110,54,0,67,76,
11/18/2025,="1730",1,17,40,15,3,6,10,0,94,51,1,87,55,
11/18/2025,="1745",1,10,36,12,6,14,7,3,84,35,0,96,76,
11/18/2025,="1800",1,23,36,13,2,11,11,1,59,34,2,0,46,
11/18/2025,="1815",1,18,45,12,6,13,13,1,75,15,0,2,52,
11/18/2025,="1830",1,18,20,15,2,3,10,0,77,19,0,0,34,
11/18/2025,="1845",1,12,22,9,2,4,4,2,72,17,1,0,46,
11/18/2025,="1900",1,7,11,10,2,5,2,0,77,15,0,1,29,
11/18/2025,="1915",1,11,25,11,1,3,10,1,53,10,0,0,46,
11/18/2025,="1930",1,9,14,8,7,7,2,1,51,14,0,0,36,
11/18/2025,="1945",1,13,11,10,8,6,12,3,70,11,0,2,26,
11/18/2025,="2000",1,11,11,8,5,5,7,1,53,10,1,2,45,
11/18/2025,="2015",1,15,8,8,1,6,7,3,43,10,0,1,65,
11/18/2025,="2030",1,5,12,6,2,4,10,0,36,7,0,0,44,
11/18/2025,="2045",1,7,15,6,2,2,5,0,42,8,0,5,35,
11/18/2025,="2100",1,5,6,6,2,4,2,0,28,9,0,0,39,
11/18/2025,="2115",1,4,12,8,1,0,4,0,34,6,1,2,30,
11/18/2025,="2130",1,6,4,8,4,3,3,0,23,1,0,2,28,
11/18/2025,="2145",1,5,4,4,1,3,7,1,15,4,0,2,30,
11/18/2025,="2200",1,2,4,1,1,1,3,0,21,4,0,1,22,
11/18/2025,="2215",1,3,5,1,0,0,3,0,16,1,0,2,15,
11/18/2025,="2230",1,4,6,2,1,0,4,0,9,2,0,0,18,
11/18/2025,="2245",1,4,2,1,0,3,4,0,8,1,0,1,9,
11/18/2025,="2300",1,2,2,2,1,1,3,0,0,2,0,1,7,
11/18/2025,="2315",1,1,2,1,0,0,1,0,5,0,0,1,12,
11/18/2025,="2330",1,3,1,1,1,1,4,0,4,1,0,0,8,
11/18/2025,="2345",1,3,0,1,1,0,1,0,2,2,0,0,4,
11/19/2025,="0000",1,1,1,1,0,0,0,0,0,0,0,0,3,
11/19/2025,="0015",1,1,0,0,0,0,1,0,1,2,1,0,5,
11/19/2025,="0030",1,1,0,0,0,0,0,0,0,0,0,0,2,
11/19/2025,="0045",1,0,1,0,0,0,0,0,1,0,0,0,3,
11/19/2025,="0100",1,2,0,3,0,0,0,0,2,1,0,0,2,
11/19/2025,="0115",1,1,0,0,0,0,0,0,2,1,0,0,7,
11/19/2025,="0130",1,0,0,1,0,0,1,0,2,0,0,0,4,
11/19/2025,="0145",1,1,0,1,0,0,1,0,0,0,0,0,4,
11/19/2025,="0200",1,1,0,2,0,0,2,0,1,0,0,0,3,
11/19/2025,="0215",1,1,0,0,0,0,0,0,3,0,0,0,2,
11/19/2025,="0230",1,1,0,1,0,0,0,0,1,1,0,0,4,
11/19/2025,="0245",1,1,0,0,0,0,0,0,0,1,0,0,1,
11/19/2025,="0300",1,1,1,0,0,0,1,0,2,0,0,1,4,
11/19/2025,="0315",1,1,0,1,0,0,0,0,0,0,0,0,0,
11/19/2025,="0330",1,0,1,1,0,0,0,0,0,0,0,1,6,
11/19/2025,="0345",1,1,0,0,0,0,0,0,3,1,0,2,5,
11/19/2025,="0400",1,1,0,1,0,0,0,0,4,1,0,1,9,
11/19/2025,="0415",1,3,1,2,0,0,3,0,1,2,0,2,5,
11/19/2025,="0430",1,1,0,0,0,0,1,0,9,1,0,1,13,
11/19/2025,="0445",1,0,1,3,0,0,0,0,8,8,0,0,12,
11/19/2025,="0500",1,5,0,3,0,0,2,0,6,5,1,26,13,
11/19/2025,="0515",1,8,0,1,0,1,4,0,12,3,1,39,8,
11/19/2025,="0530",1,2,0,12,0,0,1,0,15,3,1,44,16,
11/19/2025,="0545",1,5,5,12,0,1,6,0,14,11,0,46,25,
11/19/2025,="0600",1,2,6,7,0,2,1,0,12,8,0,75,21,
11/19/2025,="0615",1,7,8,7,1,1,9,0,20,9,1,52,33,
11/19/2025,="0630",1,9,25,8,1,2,3,0,51,14,1,58,52,
11/19/2025,="0645",1,54,63,3,0,1,6,0,48,16,0,88,36,
11/19/2025,="0700",1,79,65,8,5,2,4,2,93,2,0,72,57,
11/19/2025,="0715",1,111,71,4,2,6,4,0,93,4,0,87,47,
11/19/2025,="0730",1,120,94,10,8,12,1,0,113,4,1,90,54,
11/19/2025,="0745",1,126,104,18,13,8,4,0,107,6,0,77,74,
11/19/2025,="0800",1,125,76,9,8,7,5,2,87,0,0,77,67,
11/19/2025,="0815",1,116,108,15,10,3,5,2,94,5,0,55,61,
11/19/2025,="0830",1,106,75,21,11,11,3,1,121,3,0,75,54,
11/19/2025,="0845",1,78,66,24,7,8,3,2,116,3,0,66,70,
11/19/2025,="0900",1,85,60,30,14,9,7,2,138,5,0,50,91,
11/19/2025,="0915",1,68,32,34,9,8,6,1,138,6,0,67,64,
11/19/2025,="0930",1,62,35,41,8,7,2,2,97,9,0,67,65,
11/19/2025,="0945",1,60,35,26,10,5,2,2,128,12,0,66,80,
11/19/2025,="1000",1,63,37,28,10,3,3,0,53,9,0,73,54,
11/19/2025,="1015",1,51,26,22,11,13,4,2,55,12,0,95,79,
11/19/2025,="1030",1,54,23,19,17,3,4,1,80,10,0,78,58,
11/19/2025,="1045",1,57,20,23,10,8,2,2,66,21,0,84,78,
11/19/2025,="1100",1,61,19,21,12,5,7,3,72,17,0,71,58,
11/19/2025,="1115",1,53,23,20,9,4,1,4,47,23,0,72,65,
11/19/2025,="1130",1,68,24,21,3,7,5,1,55,21,0,59,62,
11/19/2025,="1145",1,62,27,28,21,15,3,2,63,21,0,78,55,
11/19/2025,="1200",1,56,28,18,20,4,3,2,55,18,0,77,81,
11/19/2025,="1215",1,60,31,21,14,8,4,3,56,21,0,61,88,
11/19/2025,="1230",1,55,34,14,13,7,3,2,109,23,0,85,63,
11/19/2025,="1245",1,48,26,12,13,5,2,0,115,12,0,73,69,
11/19/2025,="1300",1,52,37,16,4,6,3,1,93,17,0,83,67,
11/19/2025,="1315",1,48,35,15,16,5,3,1,96,20,0,84,76,
11/19/2025,="1330",1,45,28,16,18,12,4,1,74,13,0,95,65,
11/19/2025,="1345",1,67,29,14,9,8,2,0,131,15,0,89,47,
11/19/2025,="1400",1,39,35,20,13,7,6,3,121,24,0,108,61,
11/19/2025,="1415",1,50,31,16,10,4,3,3,98,14,0,111,49,
11/19/2025,="1430",1,27,30,15,20,10,3,3,97,23,0,96,53,
11/19/2025,="1445",1,40,42,11,20,10,0,2,118,9,0,111,55,
11/19/2025,="1500",1,50,43,9,19,6,0,2,114,21,0,116,79,
11/19/2025,="1515",1,43,48,10,8,14,7,0,117,30,0,111,70,
11/19/2025,="1530",1,39,41,11,15,15,1,1,126,24,0,111,57,
11/19/2025,="1545",1,40,67,14,11,13,1,1,130,25,0,110,82,
11/19/2025,="1600",1,36,47,13,11,9,4,2,190,33,1,99,71,
11/19/2025,="1615",1,35,47,18,23,8,1,2,182,28,0,122,62,
11/19/2025,="1630",1,30,42,14,12,15,0,1,181,28,0,91,60,
11/19/2025,="1645",1,39,55,13,12,15,1,1,200,27,1,123,47,
11/19/2025,="1700",1,38,61,9,30,12,4,0,189,27,0,124,64,
11/19/2025,="1715",1,27,63,3,8,14,8,0,127,44,0,88,61,
11/19/2025,="1730",1,15,52,2,6,4,19,0,94,41,0,110,62,
11/19/2025,="1745",1,13,43,3,6,6,22,4,89,32,0,102,51,
11/19/2025,="1800",1,21,48,1,4,8,13,1,86,19,0,2,36,
11/19/2025,="1815",1,25,47,2,4,9,22,0,75,14,0,1,43,
11/19/2025,="1830",1,24,24,0,2,4,18,0,70,14,0,0,36,
11/19/2025,="1845",1,18,33,3,3,8,24,2,60,11,0,2,39,
